2025-06-24 17:52:52, 電壓: 0.64V, pH: 2.23, ORP: 1368mV
2025-06-24 17:53:47, 電壓: 0.63V, pH: 2.20, ORP: 1379mV
2025-06-24 17:53:47, 電壓: 0.62V, pH: 2.17, ORP: 1383mV
2025-06-24 17:53:48, 電壓: 0.57V, pH: 2.00, ORP: 1433mV
2025-06-24 17:53:49, 電壓: 0.54V, pH: 1.89, ORP: 1465mV
2025-06-24 17:53:50, 電壓: 0.53V, pH: 1.85, ORP: 1474mV
2025-06-24 17:53:51, 電壓: 0.55V, pH: 1.92, ORP: 1458mV
2025-06-24 17:53:51, 電壓: 0.59V, pH: 2.06, ORP: 1419mV
2025-06-24 17:53:52, 電壓: 0.60V, pH: 2.09, ORP: 1412mV
2025-06-24 17:53:53, 電壓: 0.57V, pH: 1.98, ORP: 1436mV
2025-06-24 17:53:54, 電壓: 0.60V, pH: 2.12, ORP: 1401mV
2025-06-24 17:53:55, 電壓: 0.59V, pH: 2.06, ORP: 1420mV
2025-06-24 17:53:55, 電壓: 0.61V, pH: 2.12, ORP: 1405mV
2025-06-24 17:53:56, 電壓: 0.59V, pH: 2.07, ORP: 1414mV
2025-06-24 17:53:57, 電壓: 0.60V, pH: 2.11, ORP: 1402mV
2025-06-24 17:53:58, 電壓: 0.58V, pH: 2.03, ORP: 1427mV
2025-06-24 17:53:59, 電壓: 0.60V, pH: 2.10, ORP: 1410mV
2025-06-24 17:53:59, 電壓: 0.59V, pH: 2.05, ORP: 1419mV
2025-06-24 17:54:00, 電壓: 0.61V, pH: 2.12, ORP: 1398mV
2025-06-24 17:54:01, 電壓: 0.60V, pH: 2.10, ORP: 1408mV
2025-06-24 17:54:02, 電壓: 0.59V, pH: 2.07, ORP: 1417mV
2025-06-24 17:54:03, 電壓: 0.60V, pH: 2.10, ORP: 1405mV
2025-06-24 17:54:03, 電壓: 0.59V, pH: 2.06, ORP: 1416mV
2025-06-24 17:54:04, 電壓: 0.58V, pH: 2.04, ORP: 1426mV
2025-06-24 17:54:05, 電壓: 0.60V, pH: 2.10, ORP: 1410mV
2025-06-24 17:54:06, 電壓: 0.60V, pH: 2.10, ORP: 1407mV
2025-06-24 17:54:07, 電壓: 0.59V, pH: 2.05, ORP: 1417mV
2025-06-24 17:54:07, 電壓: 0.59V, pH: 2.07, ORP: 1417mV
2025-06-24 17:54:08, 電壓: 0.58V, pH: 2.02, ORP: 1430mV
2025-06-24 17:54:09, 電壓: 0.60V, pH: 2.11, ORP: 1406mV
2025-06-24 17:54:10, 電壓: 0.61V, pH: 2.14, ORP: 1393mV
2025-06-24 17:54:11, 電壓: 0.62V, pH: 2.15, ORP: 1391mV
2025-06-24 17:54:12, 電壓: 0.59V, pH: 2.07, ORP: 1415mV
2025-06-24 17:54:12, 電壓: 0.62V, pH: 2.16, ORP: 1392mV
2025-06-24 17:54:13, 電壓: 0.61V, pH: 2.14, ORP: 1392mV
2025-06-24 17:54:14, 電壓: 0.63V, pH: 2.19, ORP: 1380mV
2025-06-24 17:54:15, 電壓: 0.60V, pH: 2.11, ORP: 1405mV
2025-06-24 17:54:15, 電壓: 0.61V, pH: 2.15, ORP: 1396mV
2025-06-24 17:54:16, 電壓: 0.59V, pH: 2.07, ORP: 1413mV
2025-06-24 17:54:17, 電壓: 0.62V, pH: 2.17, ORP: 1389mV
2025-06-24 17:54:18, 電壓: 0.59V, pH: 2.05, ORP: 1418mV
2025-06-24 17:54:19, 電壓: 0.58V, pH: 2.04, ORP: 1424mV
2025-06-24 17:54:20, 電壓: 0.59V, pH: 2.06, ORP: 1418mV
2025-06-24 17:54:20, 電壓: 0.59V, pH: 2.07, ORP: 1412mV
2025-06-24 17:54:21, 電壓: 0.59V, pH: 2.05, ORP: 1419mV
2025-06-24 17:54:22, 電壓: 0.58V, pH: 2.04, ORP: 1424mV
2025-06-24 17:54:23, 電壓: 0.60V, pH: 2.10, ORP: 1406mV
2025-06-24 17:54:24, 電壓: 0.59V, pH: 2.07, ORP: 1414mV
2025-06-24 17:54:24, 電壓: 0.60V, pH: 2.09, ORP: 1409mV
2025-06-24 17:54:25, 電壓: 0.59V, pH: 2.08, ORP: 1411mV
2025-06-24 17:54:26, 電壓: 0.61V, pH: 2.15, ORP: 1396mV
2025-06-24 17:54:27, 電壓: 0.60V, pH: 2.11, ORP: 1401mV
2025-06-24 17:54:27, 電壓: 0.61V, pH: 2.13, ORP: 1397mV
2025-06-24 17:54:28, 電壓: 0.57V, pH: 1.98, ORP: 1435mV
2025-06-24 17:54:29, 電壓: 0.53V, pH: 1.85, ORP: 1474mV
2025-06-24 17:54:30, 電壓: 0.52V, pH: 1.81, ORP: 1487mV
2025-06-24 17:54:31, 電壓: 0.51V, pH: 1.80, ORP: 1491mV
2025-06-24 17:54:32, 電壓: 0.52V, pH: 1.81, ORP: 1487mV
2025-06-24 17:54:32, 電壓: 0.59V, pH: 2.05, ORP: 1421mV
2025-06-24 17:54:33, 電壓: 0.54V, pH: 1.89, ORP: 1468mV
2025-06-24 17:54:34, 電壓: 0.53V, pH: 1.84, ORP: 1477mV
2025-06-24 17:54:35, 電壓: 0.52V, pH: 1.82, ORP: 1487mV
2025-06-24 17:54:36, 電壓: 0.51V, pH: 1.79, ORP: 1495mV
2025-06-24 17:54:36, 電壓: 0.54V, pH: 1.87, ORP: 1470mV
2025-06-24 17:54:37, 電壓: 0.58V, pH: 2.04, ORP: 1423mV
2025-06-24 17:54:38, 電壓: 0.62V, pH: 2.15, ORP: 1391mV
2025-06-24 17:54:39, 電壓: 0.64V, pH: 2.23, ORP: 1370mV
2025-06-24 17:54:40, 電壓: 0.63V, pH: 2.20, ORP: 1379mV
2025-06-24 17:54:40, 電壓: 0.62V, pH: 2.18, ORP: 1379mV
2025-06-24 17:54:41, 電壓: 0.63V, pH: 2.22, ORP: 1374mV
2025-06-24 17:54:42, 電壓: 0.62V, pH: 2.16, ORP: 1389mV
2025-06-24 17:54:43, 電壓: 0.63V, pH: 2.19, ORP: 1383mV
2025-06-24 17:54:44, 電壓: 0.61V, pH: 2.12, ORP: 1400mV
2025-06-24 17:54:44, 電壓: 0.63V, pH: 2.20, ORP: 1378mV
2025-06-24 17:54:45, 電壓: 0.63V, pH: 2.21, ORP: 1378mV
2025-06-24 17:54:46, 電壓: 0.64V, pH: 2.23, ORP: 1369mV
2025-06-24 17:54:47, 電壓: 0.62V, pH: 2.18, ORP: 1379mV
2025-06-24 17:54:48, 電壓: 0.64V, pH: 2.22, ORP: 1371mV
2025-06-24 17:54:48, 電壓: 0.61V, pH: 2.13, ORP: 1398mV
2025-06-24 17:54:49, 電壓: 0.59V, pH: 2.08, ORP: 1417mV
2025-06-24 17:54:50, 電壓: 0.61V, pH: 2.15, ORP: 1396mV
2025-06-24 17:54:51, 電壓: 0.63V, pH: 2.21, ORP: 1378mV
2025-06-24 17:54:52, 電壓: 0.63V, pH: 2.20, ORP: 1374mV
2025-06-24 17:54:52, 電壓: 0.64V, pH: 2.25, ORP: 1364mV
2025-06-24 17:54:53, 電壓: 0.62V, pH: 2.17, ORP: 1383mV
2025-06-24 17:54:54, 電壓: 0.64V, pH: 2.22, ORP: 1370mV
2025-06-24 17:54:55, 電壓: 0.62V, pH: 2.17, ORP: 1386mV
2025-06-24 17:54:56, 電壓: 0.63V, pH: 2.21, ORP: 1381mV
2025-06-24 17:54:56, 電壓: 0.61V, pH: 2.15, ORP: 1392mV
2025-06-24 17:54:57, 電壓: 0.62V, pH: 2.17, ORP: 1388mV
2025-06-24 17:54:58, 電壓: 0.62V, pH: 2.17, ORP: 1385mV
2025-06-24 17:54:59, 電壓: 0.64V, pH: 2.26, ORP: 1364mV
2025-06-24 17:55:00, 電壓: 0.62V, pH: 2.18, ORP: 1382mV
2025-06-24 17:55:00, 電壓: 0.63V, pH: 2.21, ORP: 1375mV
2025-06-24 17:55:01, 電壓: 0.62V, pH: 2.18, ORP: 1385mV
2025-06-24 17:55:02, 電壓: 0.62V, pH: 2.18, ORP: 1386mV
2025-06-24 17:55:03, 電壓: 0.61V, pH: 2.15, ORP: 1395mV
2025-06-24 17:55:04, 電壓: 0.62V, pH: 2.15, ORP: 1391mV
2025-06-24 17:55:04, 電壓: 0.62V, pH: 2.16, ORP: 1390mV
2025-06-24 17:55:05, 電壓: 0.62V, pH: 2.17, ORP: 1386mV
2025-06-24 17:55:06, 電壓: 0.64V, pH: 2.23, ORP: 1370mV
2025-06-24 17:55:07, 電壓: 0.63V, pH: 2.19, ORP: 1377mV
2025-06-24 17:55:08, 電壓: 0.63V, pH: 2.22, ORP: 1374mV
2025-06-24 17:55:08, 電壓: 0.62V, pH: 2.18, ORP: 1384mV
2025-06-24 17:55:09, 電壓: 0.63V, pH: 2.20, ORP: 1382mV
2025-06-24 17:55:10, 電壓: 0.57V, pH: 2.00, ORP: 1433mV
2025-06-24 17:55:11, 電壓: 0.62V, pH: 2.16, ORP: 1389mV
2025-06-24 17:55:12, 電壓: 0.58V, pH: 2.04, ORP: 1421mV
2025-06-24 17:55:12, 電壓: 0.55V, pH: 1.92, ORP: 1456mV
2025-06-24 17:55:13, 電壓: 0.52V, pH: 1.80, ORP: 1486mV
2025-06-24 17:55:14, 電壓: 0.57V, pH: 1.99, ORP: 1442mV
2025-06-24 17:55:15, 電壓: 0.60V, pH: 2.10, ORP: 1409mV
2025-06-24 17:55:16, 電壓: 0.60V, pH: 2.09, ORP: 1411mV
2025-06-24 17:55:16, 電壓: 0.61V, pH: 2.13, ORP: 1401mV
2025-06-24 17:55:17, 電壓: 0.63V, pH: 2.20, ORP: 1379mV
2025-06-24 17:55:18, 電壓: 0.59V, pH: 2.06, ORP: 1418mV
2025-06-24 17:55:19, 電壓: 0.60V, pH: 2.11, ORP: 1402mV
2025-06-24 17:55:20, 電壓: 0.57V, pH: 1.99, ORP: 1437mV
2025-06-24 17:55:20, 電壓: 0.58V, pH: 2.04, ORP: 1427mV
2025-06-24 17:55:21, 電壓: 0.57V, pH: 2.01, ORP: 1431mV
2025-06-24 17:55:22, 電壓: 0.59V, pH: 2.06, ORP: 1422mV
2025-06-24 17:55:23, 電壓: 0.61V, pH: 2.12, ORP: 1399mV
2025-06-24 17:55:24, 電壓: 0.64V, pH: 2.25, ORP: 1364mV
2025-06-24 17:55:24, 電壓: 0.62V, pH: 2.18, ORP: 1382mV
2025-06-24 17:55:25, 電壓: 0.64V, pH: 2.22, ORP: 1374mV
2025-06-24 17:55:26, 電壓: 0.62V, pH: 2.17, ORP: 1391mV
2025-06-24 17:55:27, 電壓: 0.64V, pH: 2.23, ORP: 1371mV
2025-06-24 17:55:28, 電壓: 0.63V, pH: 2.21, ORP: 1375mV
2025-06-24 17:55:28, 電壓: 0.63V, pH: 2.22, ORP: 1373mV
2025-06-24 17:55:29, 電壓: 0.61V, pH: 2.15, ORP: 1389mV
2025-06-24 17:55:30, 電壓: 0.62V, pH: 2.19, ORP: 1384mV
2025-06-24 17:55:31, 電壓: 0.61V, pH: 2.12, ORP: 1399mV
2025-06-24 17:55:32, 電壓: 0.64V, pH: 2.24, ORP: 1369mV
2025-06-24 17:55:32, 電壓: 0.62V, pH: 2.16, ORP: 1389mV
2025-06-24 17:55:33, 電壓: 0.63V, pH: 2.21, ORP: 1376mV
2025-06-24 17:55:34, 電壓: 0.61V, pH: 2.15, ORP: 1393mV
2025-06-24 17:55:35, 電壓: 0.62V, pH: 2.17, ORP: 1390mV
2025-06-24 17:55:36, 電壓: 0.60V, pH: 2.11, ORP: 1404mV
2025-06-24 17:55:36, 電壓: 0.63V, pH: 2.19, ORP: 1384mV
2025-06-24 17:55:37, 電壓: 0.62V, pH: 2.18, ORP: 1382mV
2025-06-24 17:55:38, 電壓: 0.64V, pH: 2.23, ORP: 1372mV
2025-06-24 17:55:39, 電壓: 0.61V, pH: 2.14, ORP: 1391mV
2025-06-24 17:55:40, 電壓: 0.62V, pH: 2.18, ORP: 1388mV
2025-06-24 17:55:40, 電壓: 0.61V, pH: 2.13, ORP: 1398mV
2025-06-24 17:55:41, 電壓: 0.64V, pH: 2.23, ORP: 1371mV
2025-06-24 17:55:42, 電壓: 0.62V, pH: 2.17, ORP: 1385mV
2025-06-24 17:55:43, 電壓: 0.63V, pH: 2.20, ORP: 1378mV
2025-06-24 17:55:44, 電壓: 0.60V, pH: 2.11, ORP: 1402mV
2025-06-24 17:55:44, 電壓: 0.62V, pH: 2.18, ORP: 1385mV
2025-06-24 17:55:45, 電壓: 0.61V, pH: 2.13, ORP: 1397mV
2025-06-24 17:55:46, 電壓: 0.63V, pH: 2.20, ORP: 1380mV
2025-06-24 17:55:47, 電壓: 0.63V, pH: 2.19, ORP: 1380mV
2025-06-24 17:55:48, 電壓: 0.64V, pH: 2.26, ORP: 1363mV
2025-06-24 17:55:48, 電壓: 0.63V, pH: 2.20, ORP: 1378mV
2025-06-24 17:55:49, 電壓: 0.64V, pH: 2.23, ORP: 1369mV
2025-06-24 17:55:50, 電壓: 0.63V, pH: 2.19, ORP: 1380mV
2025-06-24 17:55:51, 電壓: 0.65V, pH: 2.26, ORP: 1363mV
2025-06-24 17:55:52, 電壓: 0.64V, pH: 2.24, ORP: 1367mV
2025-06-24 17:55:53, 電壓: 0.66V, pH: 2.31, ORP: 1350mV
2025-06-24 17:55:53, 電壓: 0.65V, pH: 2.28, ORP: 1356mV
2025-06-24 17:55:54, 電壓: 0.66V, pH: 2.31, ORP: 1348mV
2025-06-24 17:55:55, 電壓: 0.66V, pH: 2.30, ORP: 1350mV
2025-06-24 17:55:56, 電壓: 0.63V, pH: 2.22, ORP: 1371mV
2025-06-24 17:55:57, 電壓: 0.61V, pH: 2.15, ORP: 1388mV
2025-06-24 17:55:57, 電壓: 0.61V, pH: 2.13, ORP: 1392mV
2025-06-24 17:55:58, 電壓: 0.61V, pH: 2.14, ORP: 1396mV
2025-06-24 17:55:59, 電壓: 0.61V, pH: 2.12, ORP: 1403mV
2025-06-24 17:56:00, 電壓: 0.61V, pH: 2.15, ORP: 1396mV
2025-06-24 17:56:00, 電壓: 0.61V, pH: 2.15, ORP: 1393mV
2025-06-24 17:56:01, 電壓: 0.63V, pH: 2.19, ORP: 1383mV
2025-06-24 17:56:02, 電壓: 0.62V, pH: 2.17, ORP: 1386mV
2025-06-24 17:56:03, 電壓: 0.63V, pH: 2.19, ORP: 1381mV
2025-06-24 17:56:04, 電壓: 0.62V, pH: 2.19, ORP: 1379mV
2025-06-24 17:56:05, 電壓: 0.62V, pH: 2.18, ORP: 1383mV
2025-06-24 17:56:05, 電壓: 0.61V, pH: 2.12, ORP: 1399mV
2025-06-24 17:56:06, 電壓: 0.62V, pH: 2.18, ORP: 1389mV
2025-06-24 17:56:07, 電壓: 0.61V, pH: 2.12, ORP: 1399mV
2025-06-24 17:56:08, 電壓: 0.64V, pH: 2.23, ORP: 1372mV
2025-06-24 17:56:09, 電壓: 0.62V, pH: 2.16, ORP: 1391mV
2025-06-24 17:56:09, 電壓: 0.63V, pH: 2.22, ORP: 1373mV
2025-06-24 17:56:10, 電壓: 0.62V, pH: 2.17, ORP: 1385mV
2025-06-24 17:56:11, 電壓: 0.63V, pH: 2.20, ORP: 1377mV
2025-06-24 17:56:12, 電壓: 0.61V, pH: 2.15, ORP: 1390mV
2025-06-24 17:56:13, 電壓: 0.63V, pH: 2.19, ORP: 1386mV
2025-06-24 17:56:13, 電壓: 0.61V, pH: 2.12, ORP: 1401mV
2025-06-24 17:56:14, 電壓: 0.61V, pH: 2.15, ORP: 1396mV
2025-06-24 17:56:15, 電壓: 0.61V, pH: 2.12, ORP: 1399mV
2025-06-24 17:56:16, 電壓: 0.62V, pH: 2.16, ORP: 1391mV
2025-06-24 17:56:17, 電壓: 0.62V, pH: 2.17, ORP: 1385mV
2025-06-24 17:56:17, 電壓: 0.62V, pH: 2.18, ORP: 1382mV
2025-06-24 17:56:18, 電壓: 0.63V, pH: 2.21, ORP: 1375mV
2025-06-24 17:56:19, 電壓: 0.66V, pH: 2.31, ORP: 1346mV
2025-06-24 17:56:20, 電壓: 0.64V, pH: 2.23, ORP: 1372mV
2025-06-24 17:56:21, 電壓: 0.62V, pH: 2.17, ORP: 1389mV
2025-06-24 17:56:21, 電壓: 0.63V, pH: 2.22, ORP: 1375mV
2025-06-24 17:56:22, 電壓: 0.71V, pH: 2.50, ORP: 1295mV
2025-06-24 17:56:23, 電壓: 0.73V, pH: 2.56, ORP: 1279mV
2025-06-24 17:56:24, 電壓: 0.81V, pH: 2.83, ORP: 1203mV
2025-06-24 17:56:25, 電壓: 0.80V, pH: 2.82, ORP: 1207mV
2025-06-24 17:56:25, 電壓: 0.75V, pH: 2.63, ORP: 1253mV
2025-06-24 17:56:26, 電壓: 0.78V, pH: 2.74, ORP: 1228mV
2025-06-24 17:56:27, 電壓: 0.74V, pH: 2.61, ORP: 1264mV
2025-06-24 17:56:28, 電壓: 0.65V, pH: 2.29, ORP: 1355mV
2025-06-24 17:56:29, 電壓: 0.61V, pH: 2.14, ORP: 1396mV
2025-06-24 17:56:29, 電壓: 0.63V, pH: 2.22, ORP: 1375mV
2025-06-24 17:56:30, 電壓: 0.62V, pH: 2.19, ORP: 1383mV
2025-06-24 17:56:31, 電壓: 0.63V, pH: 2.20, ORP: 1377mV
2025-06-24 17:56:32, 電壓: 0.62V, pH: 2.16, ORP: 1387mV
2025-06-24 17:56:33, 電壓: 0.63V, pH: 2.21, ORP: 1375mV
2025-06-24 17:56:33, 電壓: 0.62V, pH: 2.17, ORP: 1388mV
2025-06-24 17:56:34, 電壓: 0.65V, pH: 2.29, ORP: 1357mV
2025-06-24 17:56:35, 電壓: 0.64V, pH: 2.24, ORP: 1368mV
2025-06-24 17:56:36, 電壓: 0.68V, pH: 2.37, ORP: 1332mV
2025-06-24 17:56:37, 電壓: 0.64V, pH: 2.24, ORP: 1365mV
2025-06-24 17:56:37, 電壓: 0.63V, pH: 2.22, ORP: 1370mV
2025-06-24 17:56:38, 電壓: 0.61V, pH: 2.15, ORP: 1391mV
2025-06-24 17:56:39, 電壓: 0.63V, pH: 2.19, ORP: 1383mV
2025-06-24 17:56:40, 電壓: 0.62V, pH: 2.15, ORP: 1393mV
2025-06-24 17:56:41, 電壓: 0.64V, pH: 2.23, ORP: 1372mV
2025-06-24 17:56:41, 電壓: 0.63V, pH: 2.19, ORP: 1381mV
2025-06-24 17:56:42, 電壓: 0.63V, pH: 2.22, ORP: 1372mV
2025-06-24 17:56:43, 電壓: 0.62V, pH: 2.16, ORP: 1385mV
2025-06-24 17:56:44, 電壓: 0.63V, pH: 2.19, ORP: 1382mV
2025-06-24 17:56:45, 電壓: 0.61V, pH: 2.14, ORP: 1396mV
2025-06-24 17:56:45, 電壓: 0.61V, pH: 2.15, ORP: 1393mV
2025-06-24 17:56:46, 電壓: 0.62V, pH: 2.16, ORP: 1389mV
2025-06-24 17:56:47, 電壓: 0.64V, pH: 2.25, ORP: 1367mV
2025-06-24 17:56:48, 電壓: 0.62V, pH: 2.18, ORP: 1382mV
2025-06-24 17:56:49, 電壓: 0.63V, pH: 2.19, ORP: 1379mV
2025-06-24 17:56:49, 電壓: 0.61V, pH: 2.15, ORP: 1392mV
2025-06-24 17:56:50, 電壓: 0.61V, pH: 2.15, ORP: 1395mV
2025-06-24 17:56:51, 電壓: 0.61V, pH: 2.13, ORP: 1400mV
2025-06-24 17:56:52, 電壓: 0.61V, pH: 2.13, ORP: 1398mV
2025-06-24 17:56:53, 電壓: 0.61V, pH: 2.15, ORP: 1393mV
2025-06-24 17:56:53, 電壓: 0.62V, pH: 2.16, ORP: 1389mV
2025-06-24 17:56:54, 電壓: 0.63V, pH: 2.21, ORP: 1375mV
2025-06-24 17:56:55, 電壓: 0.63V, pH: 2.20, ORP: 1379mV
2025-06-24 17:56:56, 電壓: 0.63V, pH: 2.19, ORP: 1379mV
2025-06-24 17:56:57, 電壓: 0.61V, pH: 2.14, ORP: 1394mV
2025-06-24 17:56:57, 電壓: 0.62V, pH: 2.17, ORP: 1387mV
2025-06-24 17:56:58, 電壓: 0.60V, pH: 2.11, ORP: 1403mV
2025-06-24 17:56:59, 電壓: 0.62V, pH: 2.17, ORP: 1389mV
2025-06-24 17:57:00, 電壓: 0.61V, pH: 2.12, ORP: 1401mV
2025-06-24 17:57:01, 電壓: 0.62V, pH: 2.17, ORP: 1387mV
2025-06-24 17:57:01, 電壓: 0.62V, pH: 2.16, ORP: 1389mV
2025-06-24 17:57:02, 電壓: 0.64V, pH: 2.23, ORP: 1372mV
2025-06-24 17:57:03, 電壓: 0.62V, pH: 2.15, ORP: 1390mV
2025-06-24 17:57:04, 電壓: 0.62V, pH: 2.17, ORP: 1385mV
2025-06-24 17:57:05, 電壓: 0.61V, pH: 2.13, ORP: 1394mV
2025-06-24 17:57:05, 電壓: 0.61V, pH: 2.14, ORP: 1393mV
2025-06-24 17:57:06, 電壓: 0.61V, pH: 2.13, ORP: 1398mV
2025-06-24 17:57:07, 電壓: 0.61V, pH: 2.12, ORP: 1404mV
2025-06-24 17:57:08, 電壓: 0.61V, pH: 2.12, ORP: 1403mV
2025-06-24 17:57:09, 電壓: 0.62V, pH: 2.16, ORP: 1391mV
2025-06-24 17:57:09, 電壓: 0.62V, pH: 2.19, ORP: 1385mV
2025-06-24 17:57:10, 電壓: 0.63V, pH: 2.19, ORP: 1381mV
2025-06-24 17:57:11, 電壓: 0.62V, pH: 2.16, ORP: 1387mV
2025-06-24 17:57:12, 電壓: 0.61V, pH: 2.14, ORP: 1392mV
2025-06-24 17:57:13, 電壓: 0.61V, pH: 2.14, ORP: 1390mV
2025-06-24 17:57:13, 電壓: 0.61V, pH: 2.14, ORP: 1394mV
2025-06-24 17:57:14, 電壓: 0.62V, pH: 2.17, ORP: 1390mV
2025-06-24 17:57:15, 電壓: 0.60V, pH: 2.11, ORP: 1402mV
2025-06-24 17:57:16, 電壓: 0.61V, pH: 2.15, ORP: 1394mV
2025-06-24 17:57:17, 電壓: 0.60V, pH: 2.11, ORP: 1403mV
2025-06-24 17:57:17, 電壓: 0.63V, pH: 2.19, ORP: 1383mV
